nazwazmiennej,etykieta
P_ME_ZAR,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_ZAR_Q1,Pierwszy kwintyl średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_ZAR_Q2,Drugi kwintyl średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_ZAR_Q3,Trzeci kwintyl średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_ZAR_Q4,Czwarty kwintyl średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł po uzyskaniu dyplomu
P_ME_ZAR_STUD_P1,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD_P1,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_P1,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu
P_ME_ZAR_STUD_P2,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD_P2,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_P2,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu
P_ME_ZAR_STUD_P3,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD_P3,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_P3,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu
P_ME_ZAR_STUD_P4,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD_P4,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_P4,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu
P_ME_ZAR_STUD_P5,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_NSTUD_P5,"Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_P5,Mediana średnich miesięcznych wynagrodzeń absolwentów ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu
P_ME_ZAR_DOSW,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_DOSW_P1,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW_P1,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_DOSW_P2,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW_P2,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_DOSW_P3,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW_P3,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_DOSW_P4,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW_P4,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_DOSW_P5,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_NDOSW_P5,Mediana średnich miesięcznych wynagrodzeń ze wszystkich źródeł w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_STUD,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_E_ZAR_ETAT_STUD_P1,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD_P1,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_P1,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu
P_E_ZAR_ETAT_STUD_P2,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD_P2,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_P2,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu
P_E_ZAR_ETAT_STUD_P3,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD_P3,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_P3,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu
P_E_ZAR_ETAT_STUD_P4,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD_P4,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_P4,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu
P_E_ZAR_ETAT_STUD_P5,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_NSTUD_P5,"Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_E_ZAR_ETAT_P5,Średnie miesięczne wynagrodzenie absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu
P_E_ZAR_ETAT_DOSW,Średnie miesięczne wynagrodzenie z tytułu umów o pracę po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW,Średnie miesięczne wynagrodzenie z tytułu umów o pracę po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_DOSW_P1,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW_P1,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_DOSW_P2,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW_P2,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_DOSW_P3,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW_P3,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_DOSW_P4,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW_P4,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_DOSW_P5,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_E_ZAR_ETAT_NDOSW_P5,Średnie miesięczne wynagrodzenie z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_STUD,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_MIN,Minimum średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_Q1,Pierwszy kwintyl średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_Q2,Drugi kwintyl średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_Q3,Trzeci kwintyl średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_Q4,Czwarty kwintyl średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ZAR_ETAT_MAX,Maksimum średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę po uzyskaniu dyplomu
P_ME_ZAR_ETAT_STUD_P1,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD_P1,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_P1,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu
P_ME_ZAR_ETAT_STUD_P2,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD_P2,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_P2,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu
P_ME_ZAR_ETAT_STUD_P3,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD_P3,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_P3,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu
P_ME_ZAR_ETAT_STUD_P4,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD_P4,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_P4,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu
P_ME_ZAR_ETAT_STUD_P5,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_NSTUD_P5,"Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_ME_ZAR_ETAT_P5,Mediana średnich miesięcznych wynagrodzeń absolwentów z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu
P_ME_ZAR_ETAT_DOSW,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_DOSW_P1,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW_P1,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w pierwszym roku po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_DOSW_P2,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW_P2,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w drugim roku po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_DOSW_P3,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW_P3,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w trzecim roku po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_DOSW_P4,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW_P4,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w czwartym roku po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_DOSW_P5,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_ME_ZAR_ETAT_NDOSW_P5,Mediana średnich miesięcznych wynagrodzeń z tytułu umów o pracę w piątym roku po uzyskaniu dyplomu absolwentów nie wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWZ_STUD,"Względny Wskaźnik Zarobków absolwentów w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD,"Względny Wskaźnik Zarobków absolwentów w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ,Względny Wskaźnik Zarobków absolwentów po uzyskaniu dyplomu
P_WWZ_STUD_P1,"Względny Wskaźnik Zarobków absolwentów w pierwszym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD_P1,"Względny Wskaźnik Zarobków absolwentów w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ_P1,Względny Wskaźnik Zarobków absolwentów w pierwszym roku po uzyskaniu dyplomu
P_WWZ_STUD_P2,"Względny Wskaźnik Zarobków absolwentów w drugim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD_P2,"Względny Wskaźnik Zarobków absolwentów w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ_P2,Względny Wskaźnik Zarobków absolwentów w drugim roku po uzyskaniu dyplomu
P_WWZ_STUD_P3,"Względny Wskaźnik Zarobków absolwentów w trzecim roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD_P3,"Względny Wskaźnik Zarobków absolwentów w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ_P3,Względny Wskaźnik Zarobków absolwentów w trzecim roku po uzyskaniu dyplomu
P_WWZ_STUD_P4,"Względny Wskaźnik Zarobków absolwentów w czwartym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD_P4,"Względny Wskaźnik Zarobków absolwentów w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ_P4,Względny Wskaźnik Zarobków absolwentów w czwartym roku po uzyskaniu dyplomu
P_WWZ_STUD_P5,"Względny Wskaźnik Zarobków absolwentów w piątym roku po uzyskaniu dyplomu w okresach, gdy studiowali po uzyskaniu dyplomu"
P_WWZ_NSTUD_P5,"Względny Wskaźnik Zarobków absolwentów w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWZ_P5,Względny Wskaźnik Zarobków absolwentów w piątym roku po uzyskaniu dyplomu
P_WWZ_DOSW,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu po uzyskaniu dyplomu
P_WWZ_NDOSW,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu po uzyskaniu dyplomu
P_WWZ_DOSW_P1,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu w pierwszym roku po uzyskaniu dyplomu
P_WWZ_NDOSW_P1,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu w pierwszym roku po uzyskaniu dyplomu
P_WWZ_DOSW_P2,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu w drugim roku po uzyskaniu dyplomu
P_WWZ_NDOSW_P2,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu w drugim roku po uzyskaniu dyplomu
P_WWZ_DOSW_P3,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu w trzecim roku po uzyskaniu dyplomu
P_WWZ_NDOSW_P3,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu w trzecim roku po uzyskaniu dyplomu
P_WWZ_DOSW_P4,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu w czwartym roku po uzyskaniu dyplomu
P_WWZ_NDOSW_P4,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu w czwartym roku po uzyskaniu dyplomu
P_WWZ_DOSW_P5,Względny Wskaźnik Zarobków absolwentów wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu w piątym roku po uzyskaniu dyplomu
P_WWZ_NDOSW_P5,Względny Wskaźnik Zarobków absolwentów wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu w piątym roku po uzyskaniu dyplomu
P_N_KMZ1_NAJW_MIASTA,Liczba absolwentów zamieszkałych w największych miastach Polski
P_N_KMZ2_MIASTA_POWIATOWE,Liczba absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_N_KMZ3_MNIEJSZE_MIEJSC,Liczba absolwentów zamieszkałych w pozostałych miejscowościach
P_N_KMZNN_BD,Liczba braków danych nt. kategorii wielkości miejscowości zamieszkania
P_N_ODLJEDN1_POWIAT,"Liczba absolwentów zamieszkałych w powiecie, w którym studiowali"
P_N_ODLJEDN2_WOJ,"Liczba absolwentów zamieszkałych w innym powiecie, ale w tym samym województwie, w którym studiowali"
P_N_ODLJEDN3_NWOJ,"Liczba absolwentów zamieszkałych w innym województwie niż to, w którym studiowali"
P_N_ODLJEDNNN_BD,Liczba braków danych nt. kategorii odległości miejsca zamieszkania od usytuowania jednostki dydaktycznej prowadzącej ukończony kierunek studiów
P_CZAS_PRACA_KMZ1,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy wśród absolwentów zamieszkałych w największych miastach Polski
P_CZAS_PRACA_KMZ2,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy wśród absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_CZAS_PRACA_KMZ3,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy wśród absolwentów zamieszkałych w pozostałych miejscowościach
P_CZAS_ETAT_KMZ1,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę wśród absolwentów zamieszkałych w największych miastach Polski
P_CZAS_ETAT_KMZ2,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę wśród absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_CZAS_ETAT_KMZ3,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę wśród absolwentów zamieszkałych w pozostałych miejscowościach
P_CZY_SAMOZ_KMZ1,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów zamieszkałych w największych miastach Polski"
P_CZY_SAMOZ_KMZ2,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów zamieszkałych w pozostałych miastach na prawach powiatu"
P_CZY_SAMOZ_KMZ3,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia po uzyskaniu dyplomu wśród absolwentów zamieszkałych w pozostałych miejscowościach"
P_PROC_MIES_BEZR_KMZ1,Ryzyko bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w największych miastach Polski
P_PROC_MIES_BEZR_KMZ2,Ryzyko bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_PROC_MIES_BEZR_KMZ3,Ryzyko bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miejscowościach
P_WWB_KMZ1,Względny Wskaźnik Bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w największych miastach Polski
P_WWB_KMZ2,Względny Wskaźnik Bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_WWB_KMZ3,Względny Wskaźnik Bezrobocia po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miejscowościach
P_E_ZAR_KMZ1,Średnie miesięczne wynagrodzenie ze wszystkich źródeł po uzyskaniu dyplomu wśród absolwentów zamieszkałych w największych miastach Polski
P_E_ZAR_KMZ2,Średnie miesięczne wynagrodzenie ze wszystkich źródeł po uzyskaniu dyplomu wśród absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_E_ZAR_KMZ3,Średnie miesięczne wynagrodzenie ze wszystkich źródeł po uzyskaniu dyplomu wśród absolwentów zamieszkałych w pozostałych miejscowościach
P_WWZ_KMZ1,Względny Wskaźnik Zarobków po uzyskaniu dyplomu absolwentów zamieszkałych w największych miastach Polski
P_WWZ_KMZ2,Względny Wskaźnik Zarobków po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miastach na prawach powiatu
P_WWZ_KMZ3,Względny Wskaźnik Zarobków po uzyskaniu dyplomu absolwentów zamieszkałych w pozostałych miejscowościach
P_E_ZAR_ETAT_KMZ1,Średnie miesięczne wynagrodzenie z tytułu umów o pracę po uzyskaniu dyplomu wśród absolwentów zamieszkałych w największych miastach Polski
