nazwazmiennej,etykieta
P_PROC_MIES_BEZR_NSTUD,"Ryzyko bezrobocia absolwentów w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR,Ryzyko bezrobocia absolwentów po uzyskaniu dyplomu
P_PROC_MIES_BEZR_NSTUD_P1,"Ryzyko bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR_P1,Ryzyko bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu
P_PROC_MIES_BEZR_NSTUD_P2,"Ryzyko bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR_P2,Ryzyko bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu
P_PROC_MIES_BEZR_NSTUD_P3,"Ryzyko bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR_P3,Ryzyko bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu
P_PROC_MIES_BEZR_NSTUD_P4,"Ryzyko bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR_P4,Ryzyko bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu
P_PROC_MIES_BEZR_NSTUD_P5,"Ryzyko bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_PROC_MIES_BEZR_P5,Ryzyko bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu
P_PROC_MIES_BEZR_DOSW,Ryzyko bezrobocia absolwentów po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_NDOSW,Ryzyko bezrobocia absolwentów po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_DOSW_P1,Ryzyko bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_NDOSW_P1,Ryzyko bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_DOSW_P2,Ryzyko bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_NDOSW_P2,Ryzyko bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_DOSW_P3,Ryzyko bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_NDOSW_P3,Ryzyko bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_DOSW_P4,Ryzyko bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_NDOSW_P4,Ryzyko bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_PROC_MIES_BEZR_DOSW_P5,Ryzyko bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
