id;avgInc;incY1;incY2;incY3;incY4;incY5;pass
543;3686.13;1863.60;2121.70;3118.47;3979.84;4498.25;83.30
544;4123.25;1887.13;3044.80;4030.15;4747.58;0.00;42.50
545;3573.40;1337.29;2105.81;2922.92;3495.57;4248.63;63.80
546;2820.93;1183.86;2864.35;0.00;0.00;0.00;73.30
547;3743.81;1656.04;2613.42;3782.51;5234.60;6096.99;0.00
548;2627.99;1633.11;2930.95;2804.88;0.00;0.00;30.00
549;3317.34;1684.90;1832.51;2553.34;3075.85;4055.43;57.50
550;4571.42;1989.10;2829.22;4567.64;0.00;0.00;85.20
551;4124.23;1710.16;2085.98;3194.25;3963.92;4969.47;80.90
552;2689.70;1467.18;1754.35;2060.57;2573.74;3524.55;48.60
554;3430.97;2375.09;2264.25;2437.02;3148.10;4086.85;55.20
555;3672.23;1671.57;2177.60;2970.30;3990.72;4796.06;79.20
556;2874.65;1257.90;1552.52;2038.82;3011.39;3723.13;66.30
557;3898.83;2346.10;2663.50;3450.75;4360.80;5223.73;0.00
558;3462.73;1600.34;1825.61;2917.19;3456.56;4079.06;58.70
559;2803.68;1083.97;1454.61;2470.01;2858.05;3861.70;60.90
560;2704.14;1125.24;1974.31;2184.29;3049.20;3359.99;62.50
561;2643.35;2184.27;0.00;0.00;0.00;0.00;0.00
562;1834.11;2442.80;0.00;0.00;0.00;0.00;57.10
563;2635.75;3004.33;0.00;0.00;0.00;0.00;40.00
564;3402.11;2585.55;3340.52;0.00;0.00;0.00;66.70
565;3778.63;1369.79;1590.32;2450.01;3775.54;4394.26;81.10
566;3271.89;2041.92;1908.74;2776.94;3664.89;3801.12;55.60
609;3569.97;2782.60;2576.90;0.00;0.00;0.00;71.40
611;5570.90;2898.07;4498.33;4912.48;6914.60;7655.22;16.10
612;5185.11;3393.15;4303.64;4692.42;5932.60;7561.97;71.40
613;3970.56;1678.19;2687.78;3336.51;4400.51;5518.11;73.40
614;4448.80;2150.44;2922.93;3707.94;4776.17;5339.69;21.40
615;3838.68;2186.99;3050.33;3379.74;4259.59;5371.44;48.00
616;3819.83;1454.48;2803.92;3995.09;4640.95;4538.89;41.70
618;4983.85;1852.90;3406.02;4549.14;7354.45;6044.41;46.70
619;4117.82;1573.38;2419.70;3459.18;4354.76;5590.09;68.30
620;2960.05;2859.79;0.00;0.00;0.00;0.00;0.00
621;6108.38;6844.05;5752.16;0.00;0.00;0.00;41.70
622;3935.00;1638.01;3455.41;4874.92;0.00;0.00;61.50
623;5712.03;3803.05;3704.81;4666.01;6428.82;6843.90;74.10
625;2690.82;2566.14;2996.52;0.00;0.00;0.00;16.70
626;4728.38;2965.20;4061.47;4108.66;5395.75;0.00;36.40
627;2520.89;1501.78;1917.63;2620.15;0.00;0.00;6.70
628;3936.49;3595.60;2891.29;0.00;0.00;0.00;18.20
629;4021.49;2784.68;3532.80;0.00;0.00;0.00;56.20
630;7588.92;7247.28;0.00;0.00;0.00;0.00;0.00
631;4263.19;2538.05;2736.05;3021.43;4050.73;5430.24;80.00
632;3853.87;1894.37;2549.11;3255.15;3834.23;5312.46;61.80
633;4059.08;0.00;0.00;0.00;3236.35;5091.39;50.00
634;3575.22;2007.72;3773.37;0.00;0.00;0.00;52.90
635;4369.47;3395.35;3184.19;3907.24;4986.56;5592.57;66.70
636;3964.49;3936.83;5345.85;4591.70;0.00;0.00;53.80
637;2953.82;2288.84;3382.03;2880.83;3181.43;3738.47;33.30
638;0.00;0.00;0.00;0.00;0.00;0.00;0.00
639;4167.14;2382.57;2836.06;3580.34;4438.92;5260.24;80.10
640;3833.28;2511.72;2515.43;3108.89;4156.57;4936.49;33.30
641;3788.90;2462.90;3293.35;3276.87;4265.38;5042.65;0.00
642;3840.97;2603.52;4107.65;0.00;0.00;0.00;40.00
643;4369.47;3395.35;3184.19;3907.24;4986.56;5592.57;66.70
644;3933.51;2020.79;2922.70;3758.82;4371.86;5451.18;75.00
645;4089.49;1771.74;2928.57;3386.37;4272.75;5364.75;71.40
646;5045.28;3779.83;4625.03;0.00;0.00;0.00;57.10
647;4348.93;2393.82;3196.39;3915.90;5055.52;6471.56;0.00
648;3574.17;2460.57;2484.59;3362.19;3715.62;3530.45;63.60
649;3091.44;1148.41;2339.57;3095.78;3492.41;4536.20;38.50
650;4171.73;1642.80;3452.08;4127.98;4636.85;5570.13;84.20
651;4724.12;1859.37;2589.06;3496.11;5095.06;5777.37;81.20
652;6457.90;4700.97;5087.97;5091.07;6437.53;8286.94;37.90
654;2953.82;2288.84;3382.03;2880.83;3181.43;3738.47;33.30
656;3091.44;1148.41;2339.57;3095.78;3492.41;4536.20;38.50
658;5647.77;2779.63;3955.10;5515.63;5892.75;7741.58;0.00
659;3595.80;1431.32;2693.12;2905.28;3823.65;4393.94;81.80
661;6860.14;4094.01;4151.62;5784.90;8763.47;9080.38;42.90
664;7866.76;4407.37;5196.14;6558.79;8081.89;9586.47;34.80
666;2901.77;2346.81;2974.27;0.00;0.00;0.00;53.60
668;3447.10;2683.14;5134.77;0.00;0.00;0.00;70.80
670;3771.25;2028.14;1573.07;2950.55;3893.38;4985.21;66.70
671;3225.22;3558.85;4021.33;0.00;0.00;0.00;18.20
672;3225.22;3558.85;4021.33;0.00;0.00;0.00;18.20
673;3771.25;2028.14;1573.07;2950.55;3893.38;4985.21;66.70
674;3743.40;0.00;2915.04;0.00;0.00;0.00;7.70
676;3884.27;1476.47;2692.81;3692.29;4358.95;4564.08;55.30
677;4834.96;3819.98;5069.86;0.00;0.00;0.00;30.60
678;3008.75;2900.53;0.00;0.00;0.00;0.00;0.00
680;4822.85;1564.45;1891.45;4022.03;5760.09;6319.49;88.40
681;6276.63;4344.29;5549.95;7337.39;9014.91;9229.07;30.00
682;5310.67;2152.14;3644.37;4287.05;5117.65;7042.70;39.10
683;5862.52;3401.48;4902.65;6113.23;0.00;0.00;72.20
684;5712.54;2435.98;3110.93;4628.15;6252.97;7467.92;66.20
685;5013.30;2197.21;2802.07;3877.81;5182.21;6250.58;86.70
686;4479.23;1669.19;2117.40;3810.71;4961.36;6035.61;65.20
687;5644.46;4507.53;5943.95;6072.17;0.00;0.00;25.00
689;3952.50;2259.51;2469.70;3297.88;4440.62;5444.74;51.20
690;3714.31;1915.70;2427.90;2757.52;3777.84;5528.07;53.30
691;4320.72;271.98;2266.33;3347.93;5125.58;0.00;70.60
692;5366.93;4477.29;4459.22;4935.03;5388.64;6880.93;27.80
693;4042.13;1014.82;2016.22;3395.79;4056.56;4967.88;91.70
694;4411.98;2315.86;2849.43;3429.08;4333.62;5605.91;53.30
695;5119.35;2005.73;2712.35;3503.09;4808.44;6622.98;78.40
696;4261.48;1605.82;2142.55;3325.89;4206.11;5302.02;71.10
697;4805.09;2147.62;2949.71;4340.39;5973.50;7238.73;57.40
698;4162.80;2603.82;3214.04;3390.98;4431.03;6014.18;0.00
699;6091.28;3754.70;4812.16;6453.07;6938.31;7026.69;86.90
700;6055.25;3365.76;4777.13;5565.60;6634.61;7412.63;81.20
701;6125.94;4079.42;5483.34;5538.94;6048.71;7675.27;35.70
702;3416.95;2364.38;2976.81;3682.41;0.00;0.00;64.70
703;3125.71;574.62;0.00;0.00;0.00;0.00;73.30
708;4748.76;1040.16;2436.44;3685.69;4561.25;5460.75;64.70
709;2312.21;1761.90;1828.57;0.00;0.00;0.00;57.90
710;3103.36;2307.60;3419.35;4108.71;0.00;0.00;72.70
711;3404.46;1490.03;1716.81;2955.08;3995.83;4521.45;87.50
712;3475.32;1159.86;1011.00;2941.98;3693.26;4503.77;73.30
713;4834.37;2185.12;2608.39;3479.36;4444.34;5921.27;62.50
714;4753.86;1782.63;2534.81;3225.06;4617.79;5985.09;75.60
715;3859.02;1127.69;2460.07;3281.84;4272.15;4790.84;71.40
716;3980.17;1417.46;1825.15;3460.68;4585.49;5162.54;96.80
718;4802.40;2362.33;3391.08;3612.49;4894.36;6319.80;83.30
719;4176.85;1702.27;2191.57;3389.81;3965.09;5051.25;64.50
721;4066.92;2166.93;2630.07;3054.18;4329.90;5906.52;44.10
723;4653.49;2365.66;3080.30;4131.43;5486.08;0.00;65.10
724;3661.76;1475.88;1918.04;3019.02;3713.89;4395.19;59.60
725;4173.01;1771.53;2375.60;3022.94;4105.29;5316.78;82.10
726;4801.16;2768.48;3577.47;4643.25;5455.90;6389.78;0.00
727;4834.37;2185.12;2608.39;3479.36;4444.34;5921.27;62.50
728;4157.73;2042.77;3675.32;3559.88;4081.15;4896.69;67.70
729;4356.74;1839.25;2706.20;3689.08;4346.36;5487.65;66.10
730;4834.37;2185.12;2608.39;3479.36;4444.34;5921.27;62.50
731;4052.41;1865.80;3130.20;3986.02;4696.56;0.00;37.50
732;4462.33;1747.33;2330.93;3421.97;5067.64;6109.05;69.20
734;3873.47;2499.25;3138.93;3639.16;4164.56;4730.31;69.20
736;3352.91;2282.84;2659.19;3508.94;3493.19;4521.82;0.00
737;3726.19;1926.46;3008.43;3583.62;3690.88;4863.86;36.40
