P_ROKDYP;P_KIERUNEK_ID;P_POZIOM;P_FORMA;P_E_ZAR;P_E_ZAR_P1;P_E_ZAR_P2;P_E_ZAR_P3;P_E_ZAR_P4;P_E_ZAR_P5;P_PROC_UKON;P_KIERUNEK_NAZWA;P_NAZWA_UCZELNI;P_NAZWA_JEDN;P_PROFIL;P_UCZELNIA_SKROT;P_POZIOM_TEKST_PL;P_NAZWA_KIERUNKU_PELNA
2018;14644;1;N;4767,42;4428,31;4947,39;4509,46;5261,73;6165,88;26,7;Bezpieczeństwo narodowe;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Bezpieczeństwo narodowe, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14645;2;N;2496,44;1910,63;2157,48;2770,58;2852,52;3935,16;;Kosmetologia;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia drugiego stopnia;Kosmetologia, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;14647;1;N;2650,49;2317,5;2597,2;2460,61;3265,59;3274,29;36,4;Kosmetologia;Bydgoska Szkoła Wyższa w Bydgoszczy;;P;BSWB;Studia pierwszego stopnia;Kosmetologia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14660;1;S;4214,8;3077,54;3326,24;5126,46;6345,44;6851,31;21,3;Turystyka i rekreacja;Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie;Wydział Medyczny;P;WSIZR;Studia pierwszego stopnia;Turystyka i rekreacja, studia stacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14661;1;N;3463,75;3086,57;3275,56;3035,07;3889,22;4386,89;38,1;Bezpieczeństwo wewnętrzne;Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie;Wydział Administracji i Nauk Społecznych;P;WSIZR;Studia pierwszego stopnia;Bezpieczeństwo wewnętrzne, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14772;1;S;3740,84;754,48;1904,84;3470,54;4316,93;5145,14;80,4;Fizjoterapia;Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu;Wydział Nauk o Zdrowiu i Kultury Fizycznej;O;PRKP;Studia pierwszego stopnia;Fizjoterapia, studia stacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;14773;1;S;3740,42;2158,69;3469,15;3886,88;3956,18;4856;46,2;Rolnictwo;Państwowa Wyższa Szkoła Zawodowa im. Stanisława Pigonia w Krośnie;;P;PWSZK1;Studia pierwszego stopnia;Rolnictwo, studia stacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;14776;1;N;2270,11;1928,85;2534,21;2101,31;2181,46;2485,35;50;Kosmetologia;Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy;;P;WSNOZB;Studia pierwszego stopnia;Kosmetologia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14781;1;N;3093,92;2099,35;2845,82;2844,65;3263,62;4049,29;27,3;Fizjoterapia;Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy;;P;WSNOZB;Studia pierwszego stopnia;Fizjoterapia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;14792;2;S;3717,67;2600,86;3140,07;3652,34;3920,73;4630,3;;Pedagogika;Uniwersytet Śląski w Katowicach;Wydział Pedagogiki i Psychologii;O;USK;Studia drugiego stopnia;Pedagogika, studia stacjonarne drugiego stopnia, 4-semestralne, profil ogólnoakademicki
2018;14793;1;S;3607,17;2090,14;2653,73;3287,23;3675,05;4382,09;80,1;Pedagogika;Uniwersytet Śląski w Katowicach;Wydział Pedagogiki i Psychologii;O;USK;Studia pierwszego stopnia;Pedagogika, studia stacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;14794;2;N;3798,26;3162,63;3453,21;3679,86;3910,06;4467,05;;Pedagogika;Uniwersytet Śląski w Katowicach;Wydział Pedagogiki i Psychologii;O;USK;Studia drugiego stopnia;Pedagogika, studia niestacjonarne drugiego stopnia, 4-semestralne, profil ogólnoakademicki
2018;14795;1;N;3783,69;2442,01;2884,37;3426,96;4112,93;4765,16;57,1;Pedagogika;Uniwersytet Śląski w Katowicach;Wydział Pedagogiki i Psychologii;O;USK;Studia pierwszego stopnia;Pedagogika, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;14919;1;N;4894,8;4221,4;4362,5;4229,53;4914,06;5948,45;61,8;Ekonomia;Wyższa Szkoła Gospodarki i Zarządzania w Krakowie;Wydział Ekonomii w Mielcu;P;WSGZK;Studia pierwszego stopnia;Ekonomia, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil praktyczny
2018;15233;1;N;3904,47;2687,7;3428,96;3590,47;4112,24;5047,6;71,9;Pedagogika;Lubelska Szkoła Wyższa w Rykach;Wydział Pedagogiczny;O;LSWR;Studia pierwszego stopnia;Pedagogika, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;15261;1;S;2756,15;1588,81;2468,33;3202,42;3313,65;3879,62;18,2;Wzornictwo;Wyższa Szkoła Sztuki i Projektowania w Łodzi;Wydział Wzornictwa;P;WSSPL;Studia pierwszego stopnia;Wzornictwo, studia stacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;15270;JM;S;3429,52;1903,3;2182,34;2100,63;3202,66;5520,28;;Realizacja obrazu filmowego,telewizyjnego i fotografia;Wyższa Szkoła Sztuki i Projektowania w Łodzi;Wydział Filmu i Fotografii;P;WSSPL;Jednolite studia magisterskie;Realizacja obrazu filmowego,telewizyjnego i fotografia, stacjonarne jednolite studia magisterskie, 10-semestralne, profil praktyczny
2018;15359;1;S;6663,19;3998,68;5326,58;6689,78;7717,37;7884,21;55,3;Pielęgniarstwo;Wyższa Szkoła Umiejętności Zawodowych w Pińczowie;Wydział Pielęgniarstwa;P;WSUZP;Studia pierwszego stopnia;Pielęgniarstwo, studia stacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;106086;JM;N;5383,53;2510,09;3391,2;3758,96;4952,35;5980,32;;Psychologia;Uniwersytet Warszawski;Wydział Psychologii;O;UW;Jednolite studia magisterskie;Psychologia, niestacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;106086;JM;S;5892,04;4248,04;4509,15;5776,05;6715,98;6689,77;;Psychologia;Uniwersytet Warszawski;Wydział Psychologii;O;UW;Jednolite studia magisterskie;Psychologia, stacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;106089;JM;N;5975,02;3977,28;4981,14;5818,77;6749,77;8374,56;;Prawo;Uniwersytet Warszawski;Wydział Prawa i Administracji;O;UW;Jednolite studia magisterskie;Prawo, niestacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;106089;JM;S;8294,98;5872,04;6536,96;7933,77;10305,48;11307,59;;Prawo;Uniwersytet Warszawski;Wydział Prawa i Administracji;O;UW;Jednolite studia magisterskie;Prawo, stacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;106348;JM;N;4832,15;3413,96;3851,48;4815,75;6109,22;6587,5;;Prawo;Uniwersytet Jagielloński w Krakowie;Wydział Prawa i Administracji;O;UJK;Jednolite studia magisterskie;Prawo, niestacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;106348;JM;S;5789,18;3678,9;4579,01;5326,95;6271,59;8672,39;;Prawo;Uniwersytet Jagielloński w Krakowie;Wydział Prawa i Administracji;O;UJK;Jednolite studia magisterskie;Prawo, stacjonarne jednolite studia magisterskie, 10-semestralne, profil ogólnoakademicki
2018;107747;1;S;4382,2;3328,38;4040,43;4475,12;5236,25;4904,7;18,2;Budownictwo;Politechnika Gdańska;Wydział Inżynierii Lądowej i Środowiska;O;PG;Studia pierwszego stopnia;Budownictwo, studia stacjonarne pierwszego stopnia, 7-semestralne, profil ogólnoakademicki
2018;107768;1;S;4036,58;2566,22;3415,34;4480,03;4799,68;4670,37;6,7;Technologie ochrony środowiska - k. unikatowy;Politechnika Gdańska;Wydział Chemiczny;O;PG;Studia pierwszego stopnia;Technologie ochrony środowiska - k. unikatowy, studia stacjonarne pierwszego stopnia, 7-semestralne, profil ogólnoakademicki
2018;108759;JM;S;3743,81;1656,04;2613,42;3782,51;5234,6;6096,99;;Weterynaria;Uniwersytet Przyrodniczy w Lublinie;Wydział Medycyny Weterynaryjnej;O;UPL;Jednolite studia magisterskie;Weterynaria, stacjonarne jednolite studia magisterskie, 11-semestralne, profil ogólnoakademicki
2018;109382;2;N;4057,89;2993,33;3253,53;3175,09;4381,81;5599,17;;Fizjoterapia;Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach;Wydział Fizjoterapii;O;AWFJKK;Studia drugiego stopnia;Fizjoterapia, studia niestacjonarne drugiego stopnia, 4-semestralne, profil ogólnoakademicki
2018;110409;1;N;6590,13;5545,41;5683,98;6200,7;7192,52;8370,04;7,4;Leśnictwo;Wyższa Szkoła Zarządzania Środowiskiem w Tucholi;Wydział Inżynieryjny;O;WSZST;Studia pierwszego stopnia;Leśnictwo, studia niestacjonarne pierwszego stopnia, 8-semestralne, profil ogólnoakademicki
2018;110560;2;S;13887,74;9983,89;11230,02;11438,85;14334,04;17324,89;;Finanse i rachunkowość;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia drugiego stopnia;Finanse i rachunkowość, studia stacjonarne drugiego stopnia, 5-semestralne, profil ogólnoakademicki
